date,open,high,low,close,Regime_WF
2024-11-27 00:00:00+00:00,91965.16,97208.21,91792.14,95863.11,5
2024-11-28 00:00:00+00:00,95863.11,96564.0,94640.0,95643.98,5
2024-11-29 00:00:00+00:00,95643.99,98619.99,95364.99,97460.0,5
2024-11-30 00:00:00+00:00,97460.0,97463.95,96092.01,96407.99,5
2024-12-01 00:00:00+00:00,96407.99,97836.0,95693.88,97185.18,5
2024-12-02 00:00:00+00:00,97185.17,98130.0,94395.0,95840.62,5
2024-12-03 00:00:00+00:00,95840.61,96305.52,93578.17,95849.69,8
2024-12-04 00:00:00+00:00,95849.69,99000.0,94587.83,98587.32,8
2024-12-05 00:00:00+00:00,98587.32,104088.0,90500.0,96945.63,8
2024-12-06 00:00:00+00:00,96945.63,101898.99,95981.72,99740.84,7
2024-12-07 00:00:00+00:00,99740.84,100439.18,98844.0,99831.99,7
2024-12-08 00:00:00+00:00,99831.99,101351.0,98657.7,101109.59,7
2024-12-09 00:00:00+00:00,101109.6,101215.93,94150.05,97276.47,7
2024-12-10 00:00:00+00:00,97276.48,98270.0,94256.54,96593.0,7
2024-12-11 00:00:00+00:00,96593.0,101888.0,95658.24,101125.0,7
2024-12-12 00:00:00+00:00,101125.0,102540.0,99311.64,100004.29,7
2024-12-13 00:00:00+00:00,100004.29,101895.26,99205.0,101424.25,7
2024-12-14 00:00:00+00:00,101424.24,102650.0,100609.41,101420.0,5
2024-12-15 00:00:00+00:00,101420.0,105250.0,101237.14,104463.99,5
2024-12-16 00:00:00+00:00,104463.99,107793.07,103333.0,106058.66,5
2024-12-17 00:00:00+00:00,106058.65,108353.0,105321.49,106133.74,5
2024-12-18 00:00:00+00:00,106133.74,106524.98,100000.0,100204.01,5
2024-12-19 00:00:00+00:00,100204.01,102800.11,95700.0,97461.86,5
2024-12-20 00:00:00+00:00,97461.86,98233.0,92232.54,97805.44,4
2024-12-21 00:00:00+00:00,97805.44,99540.61,96398.39,97291.99,7
2024-12-22 00:00:00+00:00,97292.0,97448.08,94250.35,95186.27,7
2024-12-23 00:00:00+00:00,95186.28,96538.92,92520.0,94881.47,7
2024-12-24 00:00:00+00:00,94881.47,99487.99,93569.02,98663.58,7
2024-12-25 00:00:00+00:00,98663.58,99569.15,97632.02,99429.6,7
2024-12-26 00:00:00+00:00,99429.61,99963.7,95199.14,95791.6,7
2024-12-27 00:00:00+00:00,95791.6,97544.58,93500.01,94299.03,7
2024-12-28 00:00:00+00:00,94299.03,95733.99,94135.66,95300.0,7
2024-12-29 00:00:00+00:00,95300.0,95340.0,93009.52,93738.2,7
2024-12-30 00:00:00+00:00,93738.19,95024.5,91530.45,92792.05,7
2024-12-31 00:00:00+00:00,92792.05,96250.0,92033.73,93576.0,7
2025-01-01 00:00:00+00:00,93576.0,95151.15,92888.0,94591.79,7
2025-01-02 00:00:00+00:00,94591.78,97839.5,94392.0,96984.79,7
2025-01-03 00:00:00+00:00,96984.79,98976.91,96100.01,98174.18,7
2025-01-04 00:00:00+00:00,98174.17,98778.43,97514.79,98220.5,7
2025-01-05 00:00:00+00:00,98220.51,98836.85,97276.79,98363.61,7
2025-01-06 00:00:00+00:00,98363.61,102480.0,97920.0,102235.6,7
2025-01-07 00:00:00+00:00,102235.6,102724.38,96181.81,96954.61,7
2025-01-08 00:00:00+00:00,96954.6,97268.65,92500.9,95060.61,7
2025-01-09 00:00:00+00:00,95060.61,95382.32,91203.67,92552.49,7
2025-01-10 00:00:00+00:00,92552.49,95836.0,92206.02,94726.11,7
2025-01-11 00:00:00+00:00,94726.1,95050.94,93831.73,94599.99,7
2025-01-12 00:00:00+00:00,94599.99,95450.1,93711.19,94545.06,7
2025-01-13 00:00:00+00:00,94545.07,95940.0,89256.69,94536.1,7
2025-01-14 00:00:00+00:00,94536.11,97371.0,94346.22,96560.86,7
2025-01-15 00:00:00+00:00,96560.85,100681.94,96500.0,100497.35,7
2025-01-16 00:00:00+00:00,100497.35,100866.66,97335.13,99987.3,7
2025-01-17 00:00:00+00:00,99987.3,105865.22,99950.77,104077.48,7
2025-01-18 00:00:00+00:00,104077.47,104988.88,102277.55,104556.23,7
2025-01-19 00:00:00+00:00,104556.23,106422.43,99651.6,101331.57,5
2025-01-20 00:00:00+00:00,101331.57,109588.0,99550.0,102260.01,5
2025-01-21 00:00:00+00:00,102260.0,107240.81,100119.04,106143.82,5
2025-01-22 00:00:00+00:00,106143.82,106394.46,103339.12,103706.66,5
2025-01-23 00:00:00+00:00,103706.66,106850.0,101262.28,103910.34,5
2025-01-24 00:00:00+00:00,103910.35,107120.0,102750.0,104870.5,5
2025-01-25 00:00:00+00:00,104870.51,105286.52,104106.09,104746.85,5
2025-01-26 00:00:00+00:00,104746.86,105500.0,102520.44,102620.0,5
2025-01-27 00:00:00+00:00,102620.01,103260.0,97777.77,102082.83,5
2025-01-28 00:00:00+00:00,102082.83,103800.0,100272.68,101335.52,5
2025-01-29 00:00:00+00:00,101335.52,104782.68,101328.01,103733.24,5
